Date,Location,pH,Dissolved_Oxygen_mg_L,Temperature_C,Turbidity_NTU,Conductivity_uS_cm,Nitrate_mg_L,Phosphate_mg_L,Coliform_CFU_100mL
2024-01-05,Site A,7.2,8.4,5.1,3.2,320,1.8,0.12,45
2024-01-05,Site B,6.9,7.9,4.8,5.6,410,2.4,0.18,82
2024-01-05,Site C,7.5,9.1,4.2,1.8,280,0.9,0.07,12
2024-02-05,Site A,7.1,8.1,6.3,4.1,335,2.1,0.14,58
2024-02-05,Site B,7.0,7.6,5.9,6.3,425,2.7,0.21,96
2024-02-05,Site C,7.4,8.8,5.0,2.3,292,1.1,0.09,18
2024-03-05,Site A,7.3,8.6,9.2,3.8,318,1.6,0.11,41
2024-03-05,Site B,6.8,7.3,8.7,7.1,448,3.1,0.24,110
2024-03-05,Site C,7.6,9.3,7.8,1.5,275,0.8,0.06,9
2024-04-05,Site A,7.4,8.9,12.5,4.5,308,1.4,0.10,35
2024-04-05,Site B,7.1,7.8,11.9,6.8,430,2.5,0.19,88
2024-04-05,Site C,7.7,9.5,10.8,1.9,268,0.7,0.05,7
2024-05-05,Site A,7.6,8.3,16.1,5.2,295,1.2,0.09,28
2024-05-05,Site B,7.2,7.1,15.4,8.4,455,3.4,0.27,125
2024-05-05,Site C,7.8,9.0,14.2,2.1,260,0.6,0.04,5
2024-06-05,Site A,7.8,7.8,19.7,6.1,288,1.5,0.13,52
2024-06-05,Site B,7.3,6.6,18.9,9.2,468,3.8,0.31,148
2024-06-05,Site C,7.9,8.5,17.5,2.8,255,0.8,0.06,11
2024-07-05,Site A,7.9,7.4,22.3,6.8,281,1.8,0.15,64
2024-07-05,Site B,7.4,6.1,21.6,10.1,480,4.2,0.34,162
2024-07-05,Site C,8.0,8.1,20.2,3.2,248,1.0,0.07,14
2024-08-05,Site A,7.7,7.6,21.8,6.4,285,1.7,0.14,60
2024-08-05,Site B,7.3,6.3,21.1,9.7,472,4.0,0.33,155
2024-08-05,Site C,7.9,8.3,19.8,3.0,252,0.9,0.07,13
2024-09-05,Site A,7.5,8.0,18.4,5.5,294,1.4,0.12,48
2024-09-05,Site B,7.2,6.8,17.6,8.8,461,3.6,0.29,135
2024-09-05,Site C,7.7,8.8,16.3,2.4,261,0.7,0.05,8
2024-10-05,Site A,7.3,8.5,13.2,4.8,305,1.2,0.10,38
2024-10-05,Site B,7.0,7.4,12.5,7.5,442,2.9,0.23,104
2024-10-05,Site C,7.5,9.2,11.1,2.0,270,0.6,0.04,6
2024-11-05,Site A,7.2,8.7,8.6,3.9,316,1.6,0.11,43
2024-11-05,Site B,6.9,7.7,7.9,6.1,428,2.6,0.20,92
2024-11-05,Site C,7.4,9.4,6.8,1.7,279,0.8,0.06,10
2024-12-05,Site A,7.1,8.2,5.8,3.3,325,1.9,0.13,50
2024-12-05,Site B,6.8,7.8,5.2,5.8,416,2.5,0.19,85
2024-12-05,Site C,7.3,9.0,4.5,1.9,285,1.0,0.08,15
